[00:01.747, 00:02.049] 啊
[00:02.654, 00:03.933] 有 有嗰啲小米
[00:04.617, 00:05.264] 電視機嗎
[00:08.010, 00:08.283] 嗯
[00:08.697, 00:08.997] 一路
[00:09.743, 00:11.190] I 六七五 M 五
[00:11.640, 00:12.214] B H 啊
[00:13.823, 00:14.133] 有嗎
[00:15.543, 00:16.444] 啊乜嘢顏色個呢
[00:20.063, 00:21.377] 唔要黑色個
[00:22.397, 00:22.558] 嗰啲
[00:23.203, 00:26.913] 嗰啲 贈品 嗰啲贈品 類型係乜 係點呀
[00:29.397, 00:31.507] 嗰啲 即係 講 啊
[00:32.410, 00:33.545] 你又冇超部
[00:38.077, 00:39.170] 嗰啲贈品類型
[00:43.220, 00:43.794] 唔在
[00:44.680, 00:44.982] 嗯
[00:45.580, 00:46.893] 啊嗰啲上次時間係
[00:47.483, 00:48.598] 係幾時上市呀
[00:52.110, 00:54.683] 嗰啲 屏幕 嗰啲屏幕 幾大啊
[00:56.993, 00:57.292] 嗯
[00:58.810, 01:00.197] 嗰啲 嗯 比例呢
[01:04.017, 01:04.997] 嗰啲亮度呢
[01:09.500, 01:10.246] 係係
[01:10.567, 01:11.346] 係知你我係嘛
[01:15.270, 01:16.982] 嗰啲 嗰啲 內存係幾多
[01:24.360, 01:24.695] 哦
[01:26.480, 01:28.633] 啊嗰啲 嗰啲好掂個嘛
[01:35.640, 01:36.699] 佢靚個嘛
[01:37.167, 01:38.180] 嗰啲 我認靚個麼
[01:48.683, 01:49.040] 嗯
[01:51.517, 01:53.546] 啊 佢啊 而家幾多錢呀
[01:58.313, 01:58.579] 啊
[01:58.933, 01:59.747] 可以平啲嗎
[02:06.813, 02:07.863] 可以再平啲嘛
[02:11.450, 02:12.561] 得 唔得呀
[02:14.246, 02:16.245] 可能也有兩個朋友要買啦
[02:17.160, 02:17.327] 一
[02:18.123, 02:19.700] 一次過平啲得冇囉
[02:28.690, 02:31.223] 誒 而家係都係九千九係咪新台啊
[02:33.757, 02:37.074] 嗯不過不過我個班長唔係幾多唔係咁多喎
[02:38.203, 02:39.231] 啊三千二文得嗎
[02:43.033, 02:44.831] 啊 假如買兩台呢
[02:49.270, 02:49.706] 唔
[02:51.237, 02:52.261] 都冇可以再減嘅
[03:01.467, 03:07.879] 啊 即係講三啊 要買三台嘅話 我唔可以一一次喎就係 三千文九千文得唔得
[03:13.243, 03:15.373] 啊 啊三台呢 一次過買三台呢
[03:19.477, 03:19.956] 嗯嗯
[03:20.917, 03:22.099] 嗰啲 啊
[03:23.407, 03:25.677] 嗰啲 全部係大屏嘛大屏幕係嘛
[03:29.777, 03:30.063] 嗯
[03:35.363, 03:36.523] 可以上課上門個嘛
[03:38.753, 03:39.107] 嗯
[03:40.547, 03:41.073] 嗯
[03:42.383, 03:44.758] 都係啊 地址唔同個喎
[03:49.903, 03:50.358] 嗯噉
[03:51.210, 03:52.858] 咁我點 咁 你去
[03:53.090, 03:54.360] 電話地址係邊度啊
[04:01.697, 04:04.937] 嗯 啊不過你有冇詳細啲啊
[04:12.153, 04:12.423] 咁
[04:15.760, 04:16.293] 咁我點
[04:16.827, 04:19.790] 噉我點買呢我可以掂你去搵你啊定係點呢
[04:34.693, 04:38.250] 聽日得唔得 聽日得 聽日過去睇下得唔得
[04:43.580, 04:47.487] 嗯 得我過去睇睇住 然後再講啦好嗎
[04:51.377, 04:51.630] 嗯
[04:53.817, 04:54.643] 唔 落定啦
[04:58.270, 04:58.910] 嗯 嗯
[05:01.160, 05:02.880] 嗯好 嗯好 拜拜
